na,Open,High,Low,Close,Volume
2017.11.08,00:00,0.99826,1.00056,0.99803,0.99978,40766
2017.11.09,00:00,0.99978,1.00168,0.99209,0.99388,53577
2017.11.10,00:00,0.99385,0.99676,0.99246,0.99572,39826
2017.11.12,00:00,0.99637,0.99660,0.99520,0.99655,2831
2017.11.13,00:00,0.99655,0.99861,0.99359,0.99639,35152
2017.11.14,00:00,0.99640,0.99698,0.98811,0.98965,33654
2017.11.15,00:00,0.98965,0.99102,0.98456,0.98842,53039
2017.11.16,00:00,0.98843,0.99446,0.98819,0.99342,47095
2017.11.17,00:00,0.99343,0.99350,0.98753,0.98825,49287
2017.11.19,00:00,0.98842,0.98999,0.98796,0.98945,4577
2017.11.20,00:00,0.98945,0.99364,0.98781,0.99321,51506
2017.11.21,00:00,0.99321,0.99460,0.98984,0.99048,36945
2017.11.22,00:00,0.99048,0.99101,0.98081,0.98208,50342
2017.11.23,00:00,0.98207,0.98272,0.97944,0.98158,41805
2017.11.24,00:00,0.98158,0.98264,0.97849,0.97929,38931
2017.11.26,00:00,0.97849,0.98044,0.97813,0.98029,3054
2017.11.27,00:00,0.98028,0.98188,0.97779,0.98124,45906
2017.11.28,00:00,0.98124,0.98519,0.98017,0.98402,54226
2017.11.29,00:00,0.98402,0.98690,0.98180,0.98443,53029
2017.11.30,00:00,0.98444,0.98813,0.98152,0.98393,55224
2017.12.01,00:00,0.98392,0.98697,0.97343,0.97561,61930
2017.12.03,00:00,0.98150,0.98236,0.97928,0.98227,3130
2017.12.04,00:00,0.98228,0.98661,0.98106,0.98459,53051
2017.12.05,00:00,0.98460,0.98867,0.98365,0.98745,50014
2017.12.06,00:00,0.98745,0.99087,0.98543,0.98924,49450
2017.12.07,00:00,0.98925,0.99467,0.98909,0.99464,45282
2017.12.08,00:00,0.99465,0.99769,0.99224,0.99254,43455
2017.12.10,00:00,0.99375,0.99403,0.99230,0.99288,1730
2017.12.11,00:00,0.99287,0.99297,0.98965,0.99133,41092
2017.12.12,00:00,0.99134,0.99350,0.98896,0.99141,40526
2017.12.13,00:00,0.99141,0.99275,0.98416,0.98544,48388
2017.12.14,00:00,0.98544,0.99035,0.98393,0.98894,52564
2017.12.15,00:00,0.98893,0.99336,0.98728,0.99039,47051
