Time, Open, High, Low, Close, Volume
2017.11.08,01:00,0.99917,0.99928,0.99862,0.99876,1573
2017.11.08,02:00,0.99876,0.99903,0.99849,0.99885,1496
2017.11.08,03:00,0.99883,0.99892,0.99855,0.99877,1158
2017.11.08,04:00,0.99877,0.99881,0.99839,0.99854,707
2017.11.08,05:00,0.99854,0.99878,0.99839,0.99875,913
2017.11.08,06:00,0.99875,0.99965,0.99869,0.99910,1504
2017.11.08,07:00,0.99911,0.99941,0.99835,0.99905,1756
2017.11.08,08:00,0.99900,0.99931,0.99829,0.99867,2269
2017.11.08,09:00,0.99867,0.99918,0.99835,0.99907,1672
2017.11.08,10:00,0.99909,0.99910,0.99830,0.99850,1744
2017.11.08,11:00,0.99851,0.99889,0.99814,0.99866,1661
2017.11.08,12:00,0.99867,0.99952,0.99854,0.99914,2000
2017.11.08,13:00,0.99912,1.00019,0.99866,1.00008,2283
2017.11.08,14:00,1.00010,1.00035,0.99937,0.99972,2366
2017.11.08,15:00,0.99972,1.00017,0.99909,0.99998,2729
2017.11.08,16:00,0.99998,1.00056,0.99875,0.99964,2348
2017.11.08,17:00,0.99965,1.00025,0.99929,0.99994,1432
2017.11.08,18:00,0.99994,1.00039,0.99955,1.00010,1432
2017.11.08,19:00,1.00010,1.00050,0.99979,1.00014,1410
2017.11.08,20:00,1.00012,1.00015,0.99980,0.99989,1918
2017.11.08,21:00,0.99990,1.00031,0.99945,0.99996,1544
2017.11.08,22:00,0.99993,1.00005,0.99937,0.99986,1454
2017.11.08,23:00,0.99986,1.00003,0.99950,0.99978,1714
2017.11.09,00:00,0.99978,1.00047,0.99967,1.00019,1491
2017.11.09,01:00,1.00020,1.00050,0.99947,0.99955,1571
2017.11.09,02:00,0.99958,0.99987,0.99930,0.99980,1522
2017.11.09,03:00,0.99977,0.99997,0.99933,0.99993,1836
2017.11.09,04:00,0.99993,0.99998,0.99898,0.99907,1429
2017.11.09,05:00,0.99906,0.99908,0.99803,0.99851,2410
2017.11.09,06:00,0.99853,0.99870,0.99735,0.99774,1669
2017.11.09,07:00,0.99774,0.99839,0.99753,0.99819,2197
2017.11.09,08:00,0.99820,1.00104,0.99794,1.00098,2649
2017.11.09,09:00,1.00098,1.00168,1.00034,1.00097,1927
2017.11.09,10:00,1.00096,1.00109,0.99944,0.99946,1583
2017.11.09,11:00,0.99946,0.99946,0.99552,0.99582,2878
2017.11.09,12:00,0.99580,0.99680,0.99429,0.99668,3067
2017.11.09,13:00,0.99668,0.99886,0.99616,0.99883,2716
2017.11.09,14:00,0.99882,0.99950,0.99609,0.99632,3124
2017.11.09,15:00,0.99634,0.99818,0.99630,0.99805,3224
