Date, na,Open,High,Low,Close,Volume
2014.11.16,00:00,0.95859,0.95991,0.95788,0.95923,2152
2014.11.17,00:00,0.95924,0.96539,0.95517,0.96481,47761
2014.11.18,00:00,0.96475,0.96489,0.95740,0.95850,29295
2014.11.19,00:00,0.95849,0.96003,0.95295,0.95790,46385
2014.11.20,00:00,0.95789,0.96053,0.95524,0.95838,66955
2014.11.21,00:00,0.95841,0.97085,0.95624,0.96952,66246
2014.11.23,00:00,0.97218,0.97295,0.97139,0.97164,2892
2014.11.24,00:00,0.97159,0.97201,0.96621,0.96705,50602
2014.11.25,00:00,0.96704,0.96971,0.96341,0.96353,30614
2014.11.26,00:00,0.96349,0.96652,0.95942,0.96122,35890
2014.11.27,00:00,0.96122,0.96488,0.95980,0.96460,42169
2014.11.28,00:00,0.96459,0.96699,0.96208,0.96463,46873
2014.11.30,00:00,0.96501,0.96815,0.96479,0.96774,3097
2014.12.01,00:00,0.96774,0.96871,0.96145,0.96456,59811
2014.12.02,00:00,0.96457,0.97292,0.96409,0.97188,47414
2014.12.03,00:00,0.97189,0.97824,0.97140,0.97721,53788
2014.12.04,00:00,0.97721,0.97939,0.96485,0.97070,66228
2014.12.05,00:00,0.97069,0.97991,0.97015,0.97863,54722
2014.12.07,00:00,0.97883,0.97927,0.97747,0.97837,2208
2014.12.08,00:00,0.97840,0.98172,0.97375,0.97624,52422
2014.12.09,00:00,0.97624,0.97772,0.96531,0.97043,68448
2014.12.10,00:00,0.97044,0.97217,0.96375,0.96398,64670
2014.12.11,00:00,0.96397,0.97101,0.96269,0.96918,68541
2014.12.12,00:00,0.96919,0.96987,0.96181,0.96371,64298
2014.12.14,00:00,0.96304,0.96414,0.96175,0.96373,3817
2014.12.15,00:00,0.96374,0.96734,0.96236,0.96540,65906
2014.12.16,00:00,0.96541,0.96562,0.95527,0.95979,81888
2014.12.17,00:00,0.95979,0.97443,0.95940,0.97334,79252
2014.12.18,00:00,0.97335,0.98471,0.97211,0.97983,74550
2014.12.19,00:00,0.97984,0.98455,0.97838,0.98348,51902
2014.12.21,00:00,0.98411,0.98451,0.98393,0.98437,673
2014.12.22,00:00,0.98438,0.98490,0.98046,0.98434,14163
2014.12.23,00:00,0.98428,0.98858,0.98256,0.98750,17030
2014.12.24,00:00,0.98739,0.98809,0.98393,0.98553,28498
2014.12.25,00:00,0.98444,0.98521,0.98332,0.98491,1507
2014.12.26,00:00,0.98500,0.98834,0.98358,0.98712,25282
2014.12.28,00:00,0.98708,0.98836,0.98647,0.98826,1515
2014.12.29,00:00,0.98824,0.99071,0.98425,0.98971,39212
2014.12.30,00:00,0.98971,0.99190,0.98672,0.98858,41181
2014.12.31,00:00,0.98858,0.99383,0.98788,0.99375,26462
2015.01.01,00:00,0.99365,0.99518,0.99335,0.99451,1348
2015.01.02,00:00,0.99404,1.00164,0.99363,1.00124,49238
2015.01.04,00:00,1.00111,1.02893,1.00111,1.00575,4277
2015.01.05,00:00,1.00552,1.01077,1.00320,1.00634,36273
2015.01.06,00:00,1.00635,1.01298,1.00409,1.01152,35561
2015.01.07,00:00,1.01145,1.01749,1.00939,1.01479,37758
2015.01.08,00:00,1.01479,1.02157,1.01357,1.01839,35502
2015.01.09,00:00,1.01840,1.02080,1.01344,1.01397,44509
2015.01.11,00:00,1.01321,1.01386,1.01171,1.01175,2807
2015.01.12,00:00,1.01176,1.01890,1.01173,1.01488,45291
2015.01.13,00:00,1.01487,1.02163,1.01257,1.01961,54646
2015.01.14,00:00,1.01961,1.02393,1.01373,1.01898,54616
2015.01.15,00:00,1.01898,1.02200,0.74455,0.85395,48198
2015.01.16,00:00,0.85384,0.88074,0.84512,0.85710,50875
2015.01.18,00:00,0.86045,0.86268,0.85792,0.85821,2142
2015.01.19,00:00,0.85819,0.87980,0.85405,0.87978,40609
2015.01.20,00:00,0.87957,0.88362,0.86820,0.87398,40995
2015.01.21,00:00,0.87403,0.87702,0.84973,0.86022,44106
2015.01.22,00:00,0.86021,0.87481,0.85235,0.87135,48052
2015.01.23,00:00,0.87143,0.88179,0.86771,0.87961,59137
2015.01.25,00:00,0.87943,0.88213,0.87820,0.88093,5542
2015.01.26,00:00,0.88091,0.90406,0.87610,0.90103,78105
2015.01.27,00:00,0.90107,0.91661,0.89339,0.89895,67007
2015.01.28,00:00,0.89903,0.90894,0.89838,0.90697,50449
2015.01.29,00:00,0.90699,0.92509,0.90547,0.92225,53887
2015.01.30,00:00,0.92213,0.92884,0.91662,0.92023,63112
2015.02.01,00:00,0.92698,0.92747,0.91985,0.92117,5421
2015.02.02,00:00,0.92117,0.93440,0.91998,0.92698,59794
2015.02.03,00:00,0.92702,0.92946,0.91843,0.92482,63763
2015.02.04,00:00,0.92483,0.92780,0.92053,0.92595,43687
2015.02.05,00:00,0.92594,0.93096,0.92029,0.92201,47986
2015.02.06,00:00,0.92202,0.92870,0.91749,0.92554,44301
2015.02.08,00:00,0.92705,0.92713,0.92434,0.92617,7752
2015.02.09,00:00,0.92606,0.92858,0.91936,0.92478,36163
2015.02.10,00:00,0.92480,0.92774,0.92122,0.92650,44558
2015.02.11,00:00,0.92649,0.92992,0.92284,0.92855,39813
2015.02.12,00:00,0.92854,0.93359,0.92552,0.93002,45432
2015.02.13,00:00,0.93000,0.93349,0.92683,0.93137,35462
2015.02.15,00:00,0.93071,0.93252,0.92991,0.93145,1551
2015.02.16,00:00,0.93155,0.93331,0.92828,0.93331,29901
2015.02.17,00:00,0.93334,0.93743,0.92904,0.93614,48219
2015.02.18,00:00,0.93617,0.94519,0.93135,0.94188,26947
2015.02.19,00:00,0.94189,0.94985,0.93844,0.94935,23319
2015.02.20,00:00,0.94935,0.95345,0.93685,0.93747,22948
2015.02.22,00:00,0.93879,0.94085,0.93864,0.94051,5708
2015.02.23,00:00,0.94051,0.95257,0.93990,0.95109,39883
2015.02.24,00:00,0.95110,0.95217,0.94680,0.94990,40778
2015.02.25,00:00,0.94998,0.95068,0.94645,0.94876,35018
2015.02.26,00:00,0.94877,0.95447,0.94490,0.95266,37116
2015.02.27,00:00,0.95266,0.95452,0.94498,0.95375,43044
2015.03.01,00:00,0.95305,0.95451,0.95235,0.95429,1267
2015.03.02,00:00,0.95429,0.95970,0.95389,0.95853,17265
2015.03.03,00:00,0.95848,0.96176,0.95568,0.96079,23958
2015.03.04,00:00,0.96081,0.96762,0.95920,0.96346,34912
2015.03.05,00:00,0.96346,0.97486,0.96300,0.97376,27874
2015.03.06,00:00,0.97377,0.98641,0.97211,0.98582,31929
2015.03.08,00:00,0.98639,0.98712,0.98366,0.98452,3561
2015.03.09,00:00,0.98452,0.98736,0.98244,0.98704,32954
2015.03.10,00:00,0.98684,0.99984,0.98659,0.99823,17874
2015.03.11,00:00,0.99825,1.01071,0.99685,1.00902,35388
2015.03.12,00:00,1.00903,1.01270,0.99817,1.00274,36643
2015.03.13,00:00,1.00264,1.01108,1.00256,1.00565,28157
2015.03.15,00:00,1.00660,1.00704,1.00422,1.00630,2409
2015.03.16,00:00,1.00631,1.00854,1.00236,1.00761,18120
2015.03.17,00:00,1.00766,1.00907,1.00092,1.00563,12881
2015.03.18,00:00,1.00565,1.00683,0.96269,0.98104,33346
2015.03.19,00:00,0.98097,0.99812,0.97681,0.98972,37818
2015.03.20,00:00,0.98973,0.99042,0.97288,0.97446,27610
2015.03.22,00:00,0.97446,0.97859,0.97303,0.97764,4584
2015.03.23,00:00,0.97763,0.98115,0.96401,0.96665,32993
2015.03.24,00:00,0.96663,0.96939,0.95362,0.95944,34280
2015.03.25,00:00,0.95945,0.96192,0.95539,0.96034,18451
